id;song_title;album_title;year_of_release;month_of_release;type
1;You're No Good;Bob Dylan / Self-Titled;1962;3;Cover
2;Talkin' New York;Bob Dylan / Self-Titled;1962;3;Original
3;In My Time of Dyin';Bob Dylan / Self-Titled;1962;3;Traditional
4;Man of Constant Sorrow;Bob Dylan / Self-Titled;1962;3;Traditional
5;Fixin' to Die;Bob Dylan / Self-Titled;1962;3;Cover
6;Pretty Peggy-O;Bob Dylan / Self-Titled;1962;3;Traditional
7;Highway 51;Bob Dylan / Self-Titled;1962;3;Cover
8;Gospel Plow;Bob Dylan / Self-Titled;1962;3;Traditional
9;Baby, Let Me Follow You Down;Bob Dylan / Self-Titled;1962;3;Traditional
10;House of the Risin' Sun;Bob Dylan / Self-Titled;1962;3;Traditional
11;Freight Train Blues;Bob Dylan / Self-Titled;1962;3;Cover
12;Song to Woody;Bob Dylan / Self-Titled;1962;3;Original
13;See That My Grave Is Kept Clean;Bob Dylan / Self-Titled;1962;3;Cover
14;Blowin' in the Wind;The Freewheelin' Bob Dylan;1963;5;Original
15;Girl from the North Country;The Freewheelin' Bob Dylan;1963;5;Original
16;Masters of War;The Freewheelin' Bob Dylan;1963;5;Original
17;Down the Highway;The Freewheelin' Bob Dylan;1963;5;Original
18;Bob Dylan's Blues;The Freewheelin' Bob Dylan;1963;5;Original
19;A Hard Rain's A-Gonna Fall;The Freewheelin' Bob Dylan;1963;5;Original
20;Don't Think Twice, It's All Right;The Freewheelin' Bob Dylan;1963;5;Original
21;Bob Dylan's Dream;The Freewheelin' Bob Dylan;1963;5;Original
22;Oxford Town;The Freewheelin' Bob Dylan;1963;5;Original
23;Talkin' World War III Blues;The Freewheelin' Bob Dylan;1963;5;Original
24;Corrina, Corrina;The Freewheelin' Bob Dylan;1963;5;Traditional
25;Honey, Just Allow Me One More Chance;The Freewheelin' Bob Dylan;1963;5;Cover
26;I Shall Be Free;The Freewheelin' Bob Dylan;1963;5;Original
27;The Times They Are A-Changin';The Times They Are A-Changin';1964;1;Original
28;Ballad of Hollis Brown;The Times They Are A-Changin';1964;1;Original
