id,song_title,album_title,year_of_release,month_of_release,type,album_id,lyrics
1,You're No Good,Bob Dylan / Self-Titled,1962,3,Cover,1,". Well, I don't know why I love you like I do. Nobody in the world can get along with you. You got the ways of a devil sleeping in a lion's den. I come home last night you wouldn't even let me in. . . Oh sometimes you're as sweet as anybody want to be. Oh when you get the crazy notion of jumping all over me. Well, you give me the blues, I guess you're satisfied. When you give me the blues I want to lay down and die. . . . . I helped you when you had no shoes on your feet, pretty mama. I helped you when you had no food to eat. Now you're the kind of woman that just don't understand. You're taking all my money and give it to another man. . . Well, you're that kind of woman makes a man lose his brains. You're that kind of woman drives a man insane. Well, you give me the blues, I guess you're satisfied. You give me the blues, I want to lay down and die"
2,Talkin' New York,Bob Dylan / Self-Titled,1962,3,Original,1,". Rambling out of the wild West. Leaving the towns I love the best. Thought I’d seen some ups and downs. 'Til I come into New York town. People going down to the ground. Buildings going up to the sky. . . Wintertime in New York town. The wind blowing snow around. Walk around with nowhere to go. Somebody could freeze right to the bone. I froze right to the bone. New York Times said it was the coldest winter in seventeen years. I didn’t feel so cold then. . . I swung on to my old guitar. Grabbed hold of a subway car. And after a rocking, reeling, rolling ride. I landed up on the downtown side. Greenwich Village. . . I walked down there and ended up. In one of them coffeehouses on the block. Got on the stage to sing and play. Man there said, “Come back some other day. You sound like a hillbilly. We want folk singers here”. . Well, I got a harmonica job, begun to play. Blowing my lungs out for a dollar a day. I blowed inside out and upside down. The man there said he loved my sound. He was raving about how he loved my sound. Dollar a day’s worth. . . And after weeks and weeks of hanging around. I finally got a job in New York town. In a bigger place, bigger money too. Even joined the union and paid my dues. . . Now, a very great man once said. That some people rob you with a fountain pen. It didn’t take too long to find out. Just what he was talkin’ about. A lot of people don’t have much food on their table. But they got a lot of forks ’n’ knives. And they got to cut something. . . So one morning when the sun was warm. I rambled out of New York town. Pulled my cap down over my eyes. And headed out for the western skies. So long, New York. Howdy, East Orange"
3,In My Time of Dyin',Bob Dylan / Self-Titled,1962,3,Traditional,1,". Well, in my time of dying don't want nobody to mourn. All I want for you to do is take my body home. Well, well, well, so I can die easy. Well, well, well. Well, well, well, so I can die easy. Jesus going to make up, Jesus going to make up. Jesus going to make up my dying bed. . . Well, meet me Jesus, meet me, meet me. In the middle of the air. If these wings should fail me. Lord, won't you meet me with another pair. Well, well, well, so I can die easy. Well, well, well. Well, well, well, so I can die easy. Jesus going to make up, Jesus going to make up. Jesus going to make up my dying bed. . . Lord, in my time of dying don't want nobody to cry. All I want you to do is take me when I die. Well, well, well, so I can die easy. Well, well, well. Well, well, well, so I can die easy. Jesus going to make up, Jesus going to make up. Jesus going to make up my dying bed"
4,Man of Constant Sorrow,Bob Dylan / Self-Titled,1962,3,Traditional,1,". I am a man of constant sorrow. I've seen trouble all my days. I'll say goodbye to Colorado. Where I was born and partly raised. . . Your mother says that I'm a stranger. My face you'll never see no more. But there's one promise darling. I'll see you on God's golden shore. . . Through this open world I'm a-bound to ramble. Through ice and snow, sleet and rain. I'm a-bound to ride that morning railroad. Perhaps I'll die on that train. . . I'm a-going back to Colorado. The place that I've started from. If I'd know-ed how bad you'd treat me. Honey, I never would have come"
5,Fixin' to Die,Bob Dylan / Self-Titled,1962,3,Cover,1,". Feeling funny in my mind, Lord. I believe I'm fixing to die, fixing to die. Feeling funny in my mind, Lord. I believe I'm fixing to die. Well, I don't mind dying. But I hate to leave my children crying. Well, I look over yonder to that burying ground. Look over yonder to that burying ground. Sure seems lonesome, Lord, when the sun goes down. . . Feeling funny in my eyes, Lord. I believe I'm fixing to die, fixing to die. Feeling funny in my eyes, Lord. I believe I'm fixing to die. Well, I don't mind dying but. I hate to leave my children crying. There's a black smoke rising, Lord. It's rising up above my head, up above my head. There's a black smoke rising, Lord. It's rising up above my head, up above my head. And tell Jesus make up my dying bed. . . I'm walking kind of funny, Lord. I believe I'm fixing to die, fixing to die. Yes I'm walking kind of funny, Lord. I believe I'm fixing to die. Fixing to die, fixing to die. Well, I don't mind dying. But I hate to leave my children crying"
6,Pretty Peggy-O,Bob Dylan / Self-Titled,1962,3,Traditional,1,". I've been around this whole country. But I never yet found Fenneario. . . Well, as we marched down, as we marched down. Well, as we marched down to Fennerio. Well, our captain fell in love with a lady like a dove. Her name that she had was Pretty Peggy-O. . . Well, what will your mother say, what will your mother say. What will your mother say, Pretty Peggy-O. What will your mother say to know you're going away. You're never, never, never coming back-io ?. . . Come a-running down your stairs. Come a-running down your stairs. Come a-running down your stairs, Pretty Peggy-O. Come a-running down your stairs. Combing back your yellow hair. You're the prettiest darned girl I ever seen-io. . . The lieutenant he has gone. The lieutenant he has gone. The lieutenant he has gone, Pretty Peggy-O. The lieutenant he has gone, long gone. He's a-riding down in Texas with the rodeo. . Well, our captain he is dead, our captain he is dead. Our captain he is dead, Pretty Peggy-O. Well, our captain he is dead, died for a maid. He's buried somewhere in Louisiana-O"
7,Highway 51,Bob Dylan / Self-Titled,1962,3,Cover,1,". Highway 51 runs right by my baby's door. Highway 51 runs right by my baby's door. If I don't get the girl I'm loving. Won't go down to Highway 51 no more. . . Well, I know that highway like I know my hand. Yes, I know that highway like I know the back of my hand. Running from up Wisconsin way down to no man's land. . Well, if I should die before my time should come. And if I should die before my time should come. Won't you bury my body out on the Highway 51. . . Highway 51 runs right by my baby's door. Highway 51 runs right by my baby's door. If I don't get the girl I'm loving. Won't go down to Highway 51 no more"
8,Gospel Plow,Bob Dylan / Self-Titled,1962,3,Traditional,1,". Mary wore three links of chain. Every link was Jesus name. Keep your hand on that plow, hold on. Oh Lord, Oh Lord, keep your hand on that plow, hold on. . . Mary, Mark, Luke and John. All these prophets so good and gone. Keep your hand on that plow, hold on. Oh Lord, Oh Lord, keep your hand on that plow, hold on. Well, I never been to heaven. But I've been told streets up there. Are lined with gold. Keep your hand on that plow, hold on. Oh Lord, Oh Lord, keep your hand on that plow, hold on. Oh Lord, Oh Lord, keep your hand on that plow, hold on. Oh Lord, Oh Lord, keep your hand on that plow, hold on"
9,"Baby, Let Me Follow You Down",Bob Dylan / Self-Titled,1962,3,Traditional,1,". I first heard this from Ric von Schmidt. He lives in Cambridge. Ric's a blues guitar player. I met him one day in the. Green pastures of Harvard University. . . Baby, let me follow you down. Baby, let me follow you down. Well, I'll do anything in this God-almighty world. If you just let me follow you down. . . Can I come home with you?. Baby, can I come home with you?. Yes, I'll do anything in this God-almighty world. If you just let me come home with you. . . Baby, let me follow you down. Baby, let me follow you down. Well, I'll do anything in this God-almighty world. If you just let me follow you down. . . Yes, I'd do anything in this God-almighty world. If you just let me follow you down. . I'll buy you a diamond ring. Yes, I'll buy you a wedding gown. Yes, I'll do anything in this god almighty world. If you just let me follow you down. . I'll buy you rope and twine. Honey, just for you to climb. Yes, I'll do anything in this god almighty world. If you just once drive me out of my mind. . Buy you a hoop and skirt. I'll buy you a velvet shirt. Yes, I'll do anything in this god almighty world. If you just don't make me hurt"
10,House of the Risin' Sun,Bob Dylan / Self-Titled,1962,3,Traditional,1,". There is a house down in New Orleans they call the rising sun. And it's been the ruin of many poor girl and me, oh God, I'm one. . . My mother was a tailor, she sewed these new blue jeans. My sweetheart was a gambler, Lord, down in New Orleans. . . Now the only thing a gambler needs is a suitcase and a trunk. And the only time when he's satisfied is when he's on a drunk. . . He fills his glasses up to the brim and he'll pass the cards around. And the only pleasure he gets out of life is rambling from town to town. . . Oh tell my baby sister not to do what I have done. But shun that house in New Orleans they call the rising sun. . . Well with one foot on the platform and the other foot on the train. I'm going back to New Orleans to wear that ball and chain. . . I'm going back to New Orleans, my race is almost run. I'm going back to end my life down in the rising sun."
